genome,taxon_group,tool,entity_type,class_norm,comparison_applicability,shared_count,unshared_count,not_applicable_count,total
Orbilia_oligospora_ATCC_24927,fungi,funbgcex,BGC,other,applicable,1,8,0,9
Orbilia_oligospora_ATCC_24927,fungi,funbgcex,BGC,terpene,applicable,7,1,0,8
Orbilia_oligospora_ATCC_24927,fungi,antismash,GCF,NRPS,applicable,0,4,0,4
Orbilia_oligospora_ATCC_24927,fungi,antismash,GCF,PKS,applicable,0,5,0,5
Orbilia_oligospora_ATCC_24927,fungi,antismash,GCF,other,applicable,0,3,0,3
Orbilia_oligospora_ATCC_24927,fungi,antismash,GCF,terpene,applicable,0,15,0,15
Rhizopus_delemar_RA_99-880,fungi,antismash,BGC,NRPS,applicable,6,0,0,6
Rhizopus_delemar_RA_99-880,fungi,antismash,BGC,other,applicable,0,1,0,1
Rhizopus_delemar_RA_99-880,fungi,antismash,BGC,terpene,applicable,1,7,0,8
Rhizopus_delemar_RA_99-880,fungi,funbgcex,BGC,NRPS,applicable,6,1,0,7
Rhizopus_delemar_RA_99-880,fungi,funbgcex,BGC,other,applicable,0,4,0,4
Rhizopus_delemar_RA_99-880,fungi,funbgcex,BGC,terpene,applicable,1,1,0,2
Rhizopus_delemar_RA_99-880,fungi,antismash,GCF,NRPS,applicable,0,6,0,6
Rhizopus_delemar_RA_99-880,fungi,antismash,GCF,other,applicable,0,1,0,1
Rhizopus_delemar_RA_99-880,fungi,antismash,GCF,terpene,applicable,0,8,0,8
Saccharomyces_cerevisiae_S288C,fungi,antismash,BGC,NRPS,applicable,0,0,0,0
Saccharomyces_cerevisiae_S288C,fungi,antismash,BGC,other,applicable,0,1,0,1
Saccharomyces_cerevisiae_S288C,fungi,antismash,BGC,terpene,applicable,2,2,0,4
Saccharomyces_cerevisiae_S288C,fungi,funbgcex,BGC,NRPS,applicable,0,1,0,1
Saccharomyces_cerevisiae_S288C,fungi,funbgcex,BGC,other,applicable,0,4,0,4
Saccharomyces_cerevisiae_S288C,fungi,funbgcex,BGC,terpene,applicable,2,0,0,2
Saccharomyces_cerevisiae_S288C,fungi,antismash,GCF,other,applicable,0,1,0,1
Saccharomyces_cerevisiae_S288C,fungi,antismash,GCF,terpene,applicable,0,4,0,4
Schizosaccharomyces_pombe_972h,fungi,antismash,BGC,NRPS,applicable,2,0,0,2
Schizosaccharomyces_pombe_972h,fungi,antismash,BGC,other,applicable,0,0,0,0
Schizosaccharomyces_pombe_972h,fungi,antismash,BGC,terpene,applicable,2,2,0,4
Schizosaccharomyces_pombe_972h,fungi,funbgcex,BGC,NRPS,applicable,2,1,0,3
Schizosaccharomyces_pombe_972h,fungi,funbgcex,BGC,other,applicable,0,4,0,4
Schizosaccharomyces_pombe_972h,fungi,funbgcex,BGC,terpene,applicable,2,0,0,2
Schizosaccharomyces_pombe_972h,fungi,antismash,GCF,NRPS,applicable,0,2,0,2
Schizosaccharomyces_pombe_972h,fungi,antismash,GCF,terpene,applicable,0,4,0,4
Spizellomyces_punctatus_DAOM_BR117,fungi,antismash,BGC,Hybrid,applicable,0,1,0,1
Spizellomyces_punctatus_DAOM_BR117,fungi,antismash,BGC,NRPS,applicable,8,0,0,8
Spizellomyces_punctatus_DAOM_BR117,fungi,antismash,BGC,PKS,applicable,1,0,0,1
Spizellomyces_punctatus_DAOM_BR117,fungi,antismash,BGC,other,applicable,0,0,0,0
Spizellomyces_punctatus_DAOM_BR117,fungi,antismash,BGC,terpene,applicable,1,3,0,4
Spizellomyces_punctatus_DAOM_BR117,fungi,funbgcex,BGC,Hybrid,applicable,0,0,0,0
Spizellomyces_punctatus_DAOM_BR117,fungi,funbgcex,BGC,NRPS,applicable,8,3,0,11
Spizellomyces_punctatus_DAOM_BR117,fungi,funbgcex,BGC,PKS,applicable,1,0,0,1
Spizellomyces_punctatus_DAOM_BR117,fungi,funbgcex,BGC,other,applicable,0,5,0,5
Spizellomyces_punctatus_DAOM_BR117,fungi,funbgcex,BGC,terpene,applicable,1,2,0,3
Spizellomyces_punctatus_DAOM_BR117,fungi,antismash,GCF,NRPS,applicable,0,8,0,8
Spizellomyces_punctatus_DAOM_BR117,fungi,antismash,GCF,NRPS;terpene,applicable,0,1,0,1
Spizellomyces_punctatus_DAOM_BR117,fungi,antismash,GCF,PKS,applicable,0,1,0,1
Spizellomyces_punctatus_DAOM_BR117,fungi,antismash,GCF,terpene,applicable,0,4,0,4
Tricharina_praecox_CBS_144465,fungi,antismash,BGC,NRPS,applicable,4,0,0,4
Tricharina_praecox_CBS_144465,fungi,antismash,BGC,RiPP,applicable,0,0,0,0
Tricharina_praecox_CBS_144465,fungi,antismash,BGC,other,applicable,0,0,0,0
Tricharina_praecox_CBS_144465,fungi,antismash,BGC,terpene,applicable,3,5,0,8
Tricharina_praecox_CBS_144465,fungi,funbgcex,BGC,NRPS,applicable,4,1,0,5
Tricharina_praecox_CBS_144465,fungi,funbgcex,BGC,RiPP,applicable,0,1,0,1
Tricharina_praecox_CBS_144465,fungi,funbgcex,BGC,other,applicable,0,4,0,4
Tricharina_praecox_CBS_144465,fungi,funbgcex,BGC,terpene,applicable,3,1,0,4
Tricharina_praecox_CBS_144465,fungi,antismash,GCF,NRPS,applicable,0,4,0,4
Tricharina_praecox_CBS_144465,fungi,antismash,GCF,terpene,applicable,0,7,0,7
Zymoseptoria_tritici_IPO323,fungi,antismash,BGC,Hybrid,applicable,2,1,0,3
Zymoseptoria_tritici_IPO323,fungi,antismash,BGC,NRPS,applicable,13,1,0,14
Zymoseptoria_tritici_IPO323,fungi,antismash,BGC,PKS,applicable,10,0,0,10
Zymoseptoria_tritici_IPO323,fungi,antismash,BGC,RiPP,applicable,0,2,0,2
Zymoseptoria_tritici_IPO323,fungi,antismash,BGC,other,applicable,1,1,0,2
Zymoseptoria_tritici_IPO323,fungi,antismash,BGC,terpene,applicable,3,5,0,8
Zymoseptoria_tritici_IPO323,fungi,funbgcex,BGC,Hybrid,applicable,2,0,0,2
Zymoseptoria_tritici_IPO323,fungi,funbgcex,BGC,NRPS,applicable,13,2,0,15
Zymoseptoria_tritici_IPO323,fungi,funbgcex,BGC,PKS,applicable,10,0,0,10
Zymoseptoria_tritici_IPO323,fungi,funbgcex,BGC,RiPP,applicable,0,5,0,5
Zymoseptoria_tritici_IPO323,fungi,funbgcex,BGC,other,applicable,1,4,0,5
Zymoseptoria_tritici_IPO323,fungi,funbgcex,BGC,terpene,applicable,3,2,0,5
Zymoseptoria_tritici_IPO323,fungi,antismash,GCF,NRPS,applicable,1,13,0,14
Zymoseptoria_tritici_IPO323,fungi,antismash,GCF,NRPS;PKS,applicable,0,1,0,1
Zymoseptoria_tritici_IPO323,fungi,antismash,GCF,NRPS;RiPP,applicable,0,1,0,1
Zymoseptoria_tritici_IPO323,fungi,antismash,GCF,PKS,applicable,0,10,0,10
Zymoseptoria_tritici_IPO323,fungi,antismash,GCF,PKS;terpene,applicable,0,1,0,1
Zymoseptoria_tritici_IPO323,fungi,antismash,GCF,RiPP,applicable,0,2,0,2
Zymoseptoria_tritici_IPO323,fungi,antismash,GCF,other,applicable,0,2,0,2
