genome,tool,entity_type,class_norm,shared_count,unshared_count,total
Beauveria_bassiana_ARSEF_2860,antismash,GCF,terpene,1,12,13
Blastomyces_gilchristii_SLH14081,antismash,BGC,NRPS,8,0,8
Blastomyces_gilchristii_SLH14081,antismash,BGC,PKS,1,0,1
Blastomyces_gilchristii_SLH14081,antismash,BGC,RiPP,0,0,0
Blastomyces_gilchristii_SLH14081,antismash,BGC,other,1,1,2
Blastomyces_gilchristii_SLH14081,antismash,BGC,terpene,0,5,5
Blastomyces_gilchristii_SLH14081,funbgcex,BGC,NRPS,8,2,10
Blastomyces_gilchristii_SLH14081,funbgcex,BGC,PKS,1,0,1
Blastomyces_gilchristii_SLH14081,funbgcex,BGC,RiPP,0,2,2
Blastomyces_gilchristii_SLH14081,funbgcex,BGC,other,1,6,7
Blastomyces_gilchristii_SLH14081,funbgcex,BGC,terpene,0,0,0
Blastomyces_gilchristii_SLH14081,antismash,GCF,NRPS,2,6,8
Blastomyces_gilchristii_SLH14081,antismash,GCF,PKS,1,0,1
Blastomyces_gilchristii_SLH14081,antismash,GCF,other,0,2,2
Blastomyces_gilchristii_SLH14081,antismash,GCF,terpene,3,2,5
Botrytis_cinerea_B05.10,antismash,BGC,Hybrid,6,1,7
Botrytis_cinerea_B05.10,antismash,BGC,NRPS,16,0,16
Botrytis_cinerea_B05.10,antismash,BGC,PKS,11,2,13
Botrytis_cinerea_B05.10,antismash,BGC,RiPP,0,0,0
Botrytis_cinerea_B05.10,antismash,BGC,other,1,1,2
Botrytis_cinerea_B05.10,antismash,BGC,terpene,13,3,16
Botrytis_cinerea_B05.10,funbgcex,BGC,Hybrid,6,2,8
Botrytis_cinerea_B05.10,funbgcex,BGC,NRPS,16,4,20
Botrytis_cinerea_B05.10,funbgcex,BGC,PKS,11,1,12
Botrytis_cinerea_B05.10,funbgcex,BGC,RiPP,0,8,8
Botrytis_cinerea_B05.10,funbgcex,BGC,other,1,6,7
Botrytis_cinerea_B05.10,funbgcex,BGC,terpene,13,3,16
Botrytis_cinerea_B05.10,antismash,GCF,NRPS,5,11,16
Botrytis_cinerea_B05.10,antismash,GCF,NRPS;PKS,0,6,6
Botrytis_cinerea_B05.10,antismash,GCF,PKS,1,12,13
Botrytis_cinerea_B05.10,antismash,GCF,PKS;terpene,0,1,1
Botrytis_cinerea_B05.10,antismash,GCF,other,0,2,2
Botrytis_cinerea_B05.10,antismash,GCF,terpene,2,14,16
Candida_albicans_SC5314,antismash,BGC,NRPS,0,0,0
Candida_albicans_SC5314,antismash,BGC,other,0,0,0
Candida_albicans_SC5314,antismash,BGC,terpene,1,3,4
Candida_albicans_SC5314,funbgcex,BGC,NRPS,0,1,1
Candida_albicans_SC5314,funbgcex,BGC,other,0,4,4
Candida_albicans_SC5314,funbgcex,BGC,terpene,1,1,2
Candida_albicans_SC5314,antismash,GCF,terpene,1,3,4
Candidozyma_auris_B11220,antismash,BGC,NRPS,0,0,0
Candidozyma_auris_B11220,antismash,BGC,other,0,0,0
Candidozyma_auris_B11220,antismash,BGC,terpene,1,4,5
Candidozyma_auris_B11220,funbgcex,BGC,NRPS,0,1,1
Candidozyma_auris_B11220,funbgcex,BGC,other,0,3,3
Candidozyma_auris_B11220,funbgcex,BGC,terpene,1,0,1
Candidozyma_auris_B11220,antismash,GCF,terpene,0,5,5
Claviceps_purpurea_20.1,antismash,BGC,Hybrid,1,1,2
Claviceps_purpurea_20.1,antismash,BGC,NRPS,12,0,12
Claviceps_purpurea_20.1,antismash,BGC,PKS,7,0,7
Claviceps_purpurea_20.1,antismash,BGC,RiPP,0,0,0
Claviceps_purpurea_20.1,antismash,BGC,other,1,1,2
Claviceps_purpurea_20.1,antismash,BGC,terpene,3,2,5
Claviceps_purpurea_20.1,funbgcex,BGC,Hybrid,1,0,1
Claviceps_purpurea_20.1,funbgcex,BGC,NRPS,12,1,13
Claviceps_purpurea_20.1,funbgcex,BGC,PKS,7,1,8
Claviceps_purpurea_20.1,funbgcex,BGC,RiPP,0,1,1
Claviceps_purpurea_20.1,funbgcex,BGC,other,1,3,4
Claviceps_purpurea_20.1,funbgcex,BGC,terpene,3,1,4
Claviceps_purpurea_20.1,antismash,GCF,NRPS,3,9,12
Claviceps_purpurea_20.1,antismash,GCF,PKS,0,7,7
Claviceps_purpurea_20.1,antismash,GCF,PKS;terpene,0,2,2
Claviceps_purpurea_20.1,antismash,GCF,other,0,2,2
Claviceps_purpurea_20.1,antismash,GCF,terpene,1,4,5
Coccidioides_immitis_RS,antismash,BGC,Hybrid,3,0,3
Coccidioides_immitis_RS,antismash,BGC,NRPS,7,1,8
Coccidioides_immitis_RS,antismash,BGC,PKS,7,0,7
Coccidioides_immitis_RS,antismash,BGC,other,2,0,2
Coccidioides_immitis_RS,antismash,BGC,terpene,2,5,7
Coccidioides_immitis_RS,funbgcex,BGC,Hybrid,3,0,3
Coccidioides_immitis_RS,funbgcex,BGC,NRPS,7,1,8
Coccidioides_immitis_RS,funbgcex,BGC,PKS,7,0,7
Coccidioides_immitis_RS,funbgcex,BGC,other,2,4,6
Coccidioides_immitis_RS,funbgcex,BGC,terpene,2,0,2
Coccidioides_immitis_RS,antismash,GCF,NRPS,0,8,8
Coccidioides_immitis_RS,antismash,GCF,NRPS;PKS,0,2,2
Coccidioides_immitis_RS,antismash,GCF,NRPS;PKS;terpene,0,1,1
Coccidioides_immitis_RS,antismash,GCF,PKS,0,7,7
Coccidioides_immitis_RS,antismash,GCF,other,1,1,2
Coccidioides_immitis_RS,antismash,GCF,terpene,2,5,7
Colletotrichum_higginsianum_IMI_349063,antismash,BGC,Hybrid,10,3,13
Colletotrichum_higginsianum_IMI_349063,antismash,BGC,NRPS,15,0,15
Colletotrichum_higginsianum_IMI_349063,antismash,BGC,PKS,26,0,26
Colletotrichum_higginsianum_IMI_349063,antismash,BGC,RiPP,1,0,1
Colletotrichum_higginsianum_IMI_349063,antismash,BGC,other,6,1,7
Colletotrichum_higginsianum_IMI_349063,antismash,BGC,terpene,15,7,22
Colletotrichum_higginsianum_IMI_349063,funbgcex,BGC,Hybrid,10,0,10
Colletotrichum_higginsianum_IMI_349063,funbgcex,BGC,NRPS,15,6,21
Colletotrichum_higginsianum_IMI_349063,funbgcex,BGC,PKS,26,3,29
